,full_var_name,bballref_table,Off_or_Def,FG_Ast_Rbd_Stl_Blk_Tov_Usg_or_Adv,pct_Avg_or_Absolute
fg2_per_g,2-FG Per Game,PerGame,Offense,FG,Avg
orb_per_g,Offensive Rebounds Per Game,PerGame,Offense,Rbd,Avg
pts_per_g,Points Per Game,PerGame,Offense,FG,Avg
fg3_per_g,3-FG Per Game,PerGame,Offense,FG,Avg
fg2a_per_g,2-FGA Per Game,PerGame,Offense,FG,Avg
fga_per_g,FGA per game,PerGame,Offense,FG,Avg
pct_fg2_dunk,%percent of 2pt fg that are dunks,Shooting,Offense,FG,%
fg3a_pct_fga,%percent of fga that are 3-pointer,Shooting,Offense,FG,%
fg3_heave,3-FG heaves made,Shooting,Offense,FG,Abs
fg3a_heave,3-FG attempts that are heaves,Shooting,Offense,FG,Abs
fg2_dunk,Number of Succesful Dunks,Shooting,Offense,FG,Abs
avg_dist,Average distance of shot,Shooting,Offense,FG,Avg
blk_pct,Block %percentage,Advanced,Defense,Blk,%
stl_pct,stl_%percentage,Advanced,Defense,Stl,%
usg_pct,Usage %percentage,Advanced,N/A,Usg,%
trb_pct,Total rebounds_%percentage,Per100Poss,N/A,Rbd,%
ts_pct,true_shooting_%percentage,Advanced,Offense,FG,%
orb_pct,offensive rebound %percentage,Advanced,Offense,Rbd,%
ast_pct,assist %percentage,Advanced,Offense,Ast,%
tov_pct,Turnover_%percentage,Advanced,Offense,Tov,%
efg_pct,effective FG %percentage,Shooting,Offense,FG,%
fg_pct,fg_%percentage,Shooting,Offense,FG,%
fg2_pct_ast,%percentage of 2-FG that are assisted,Shooting,Offense,FG,%
fg3_pct_ast,%percentage of 3-FG that are assisted,Shooting,Offense,FG,%
fg2_pct,2-FG %percentage,Shooting,Offense,FG,%
ft_pct,free throw %percentage,Shooting,Offense,FG,%
pct_fga_10_16,%percentage of fga taken between 10 and 16 feet,Shooting,Offense,FG,%
fg_pct_10_16,FG %percentage on shots between 10 and 16 feet,Shooting,Offense,FG,%
fg_pct_00_03,FG %percentage on shots between 00 and 03 feet,Shooting,Offense,FG,%
fg3_pct,3-FG %percentage,Shooting,Offense,FG,%
fg_pct_16_xx,FG %percentage 16 feet and greater,Shooting,Offense,FG,%
pct_fga_03_10,%percentage of FGA between 03 and 10 feet,Shooting,Offense,FG,%
fg2a_pct_fga,2-FGA as %percentage of FGA,Shooting,Offense,FG,%
pct_fg3a_corner,%percentage_fg3a_corner,Shooting,Offense,FG,%
fg3a_per_fga_pct,3-FGA per FGA as a %percentage,Shooting,Offense,FG,%
fg_pct_03_10,fg_%percentage_03_10,Shooting,Offense,FG,%
pct_fga_00_03,%percentage_fga_00_03,Shooting,Offense,FG,%
fta_per_fga_pct,Free Throw attempt per field goal attempt %per...,Shooting,Offense,FG,%
pct_fga_16_xx,%percentage of FGA 16 feet and greater,Shooting,Offense,FG,%
fg3_pct_corner,3-FG %percentage from the corner,Shooting,Offense,FG,%
